source1,target
0,Ciel dégagé
1,Principalement dégagé
2,Partiellement nuageux
3,Ciel couvert
45,Brouillard
48,Brouillard givré
51,Bruine : faible intensité
53,Bruine : d'intensité modérée
55,Bruine : forte intensité
56,Bruine glaciale : faible densité
57,Bruine glaciale : forte densité
61,Pluie : faible intensité
63,Pluie : d'intensité modérée
65,Pluie : forte
66,Pluie verglaçante : faible intensité
67,Pluie verglaçante : forte intensité
71,Chutes de neige : faibles
73,Chutes de neige : d'intensité modérée
75,Chutes de neige : fortes
77,Flocons de neige
80,Averses : faibles
81,Averses : modérées
82,Averses : violentes
85,Légères averses de neige
86,Fortes averses de neige
95,Orage : faible
96,Orage accompagné de grêlons
99,Orage accompagné de grêle abondante
